Year;Period;ScreenedBy_H;Sample_ref_long;Sample_ref;Oocyte_stage_H;Hydration_state_H;Egg_stage_H;POF_H;Spent_H;Massive_atr_H;Early_alpha_H;Discard_H;Comment_H;Fecundity_H;Spawn_marker_H;Atresia_H;Embedding_H;Batch_fec_H;POF_analysis_H;Calendar_day;Fish_weight;Length;Fulton_K;GSI;Latitude_N;Longitude_W;Ovary_weight;Samp_approach;Walsh_Mat
2019;6;IMR;A001eE;A001;1;0;0;0;0;0;1;0;Beta atresia;no;no;no;no;no;no;173;476;38,00;0,87;0,88;56,75;9,82;4,20;;6
2019;6;WMR;A002;A002;5;2;0;1;1;1;1;0;;no;yes;no;no;no;no;173;441;38,20;0,79;1,29;56,75;9,82;5,70;;6
2019;6;AZTI;A003eK;A003;4;0;2;1;1;1;1;0;;no;yes;no;no;no;no;173;476;39,10;0,80;1,72;56,75;9,82;8,20;;6
2019;6;IEO;A004eM;A004;4;0;0;1;0;1;1;0;;no;yes;no;no;no;no;173;390;37,30;0,75;2,21;56,75;9,82;8,60;;6
2019;6;IMR;A005eE;A005;2;0;0;0;0;0;0;0;Beta atresia;no;no;no;no;no;no;173;394;37,10;0,77;0,91;56,75;9,82;3,60;;6
2019;6;WMR;A006;A006;4;0;0;1;0;0;1;0;;no;yes;yes;yes;no;no;173;547;41,50;0,77;1,57;56,75;9,82;8,60;;6
2019;6;AZTI;A007eK;A007;1;0;0;1;1;0;1;0;There is only one vitellogenic oocyte and it is atretic;no;yes;no;no;no;no;173;420;38,20;0,75;0,90;56,75;9,82;3,80;;6
2019;6;IEO;A008eM;A008;1;0;0;0;1;0;1;0;;no;no;no;no;no;no;173;494;39,50;0,80;1,44;56,75;9,82;7,10;;6
2019;6;IMR;A009eE;A009;1;0;0;0;0;0;0;0;Beta atresia;no;no;no;no;no;no;173;429;38,20;0,77;1,31;56,75;9,82;5,60;;6
2019;6;WMR;A010;A010;5;3;0;1;0;0;0;0;;no;yes;yes;no;no;no;173;274;32,70;0,78;9,53;56,75;9,82;26,10;;5
2019;6;AZTI;A011eK;A011;5;2;1;1;0;0;0;0;Hyd oocytes seem to be not completely hydrated, however presence of POF;no;yes;yes;no;no;no;173;430;35,80;0,94;13,19;56,75;9,82;56,70;;5
2019;6;IEO;A012eM;A012;4;0;0;1;0;0;1;0;A lot of atresia. In the limit with massive atresia.;no;yes;yes;yes;no;no;173;638;40,50;0,96;8,37;56,75;9,82;53,40;;5
2019;6;IMR;A013eE;A013;0;0;0;0;1;0;0;0;Lot of beta atresia;no;no;no;no;no;no;173;544;39,70;0,87;1,27;56,75;9,82;6,90;;6
2019;6;WMR;A014;A014;4;0;0;0;0;0;0;0;;no;no;no;no;no;no;173;622;40,10;0,96;14,61;56,75;9,82;90,90;;4
2019;6;AZTI;A015eK;A015;1;0;0;1;1;1;1;0;;no;yes;no;no;no;no;173;258;30,60;0,90;0,89;56,75;9,82;2,30;;6
2019;6;IEO;A016eM;A016;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;173;446;38,40;0,79;1,17;56,75;9,82;5,20;;6
2019;6;IMR;A017eE;A017;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;173;440;37,20;0,85;0,86;56,75;9,82;3,80;;6
2019;6;WMR;A018;A018;4;0;0;0;0;0;0;0;slecht preparaat;no;no;no;no;no;no;173;563;39,90;0,89;15,88;56,75;9,82;89,40;;4
2019;6;AZTI;A019eK;A019;4;0;2;1;1;1;1;0;;no;yes;no;no;no;no;173;442;39,00;0,75;1,13;56,75;9,82;5,00;;6
2019;6;IEO;A020eM;A020;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;173;379;35,60;0,84;0,95;56,75;9,82;3,60;;6
2019;6;IMR;A021eE;A021;1;0;0;0;0;0;0;0;;no;no;no;no;no;no;173;366;35,70;0,80;1,01;56,75;9,82;3,70;;6
2019;6;WMR;A022;A022;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;173;422;36,20;0,89;1,00;56,75;9,82;4,20;;6
2019;6;AZTI;A023eK;A023;4;0;0;1;0;0;0;0;;no;yes;yes;no;no;no;173;384;37,40;0,73;2,73;56,75;9,82;10,50;;6
2019;6;IEO;A024eM;A024;5;1;0;1;0;0;0;0;;no;yes;yes;no;no;no;173;318;34,70;0,76;5,75;56,75;9,82;18,30;;4
2019;6;IMR;A025eE;A025;2;0;0;0;0;0;0;0;Some Beta atresia;no;no;no;no;no;no;173;286;31,70;0,90;0,66;56,75;9,82;1,90;;6
2019;6;WMR;A026;A026;1;0;0;1;1;0;0;0;;no;yes;no;no;no;no;173;443;39,20;0,74;1,11;56,75;9,82;4,90;;6
2019;6;AZTI;A027eK;A027;5;3;1;1;0;0;0;0;;no;yes;yes;no;no;no;173;580;37,90;1,07;17,17;56,75;9,82;99,60;;4
2019;6;IEO;A028eM;A028;1;0;0;0;1;0;0;0;;no;no;no;no;no;no;173;525;39,00;0,89;1,01;56,75;9,82;5,30;;6
2019;6;IMR;A029eE;A029;5;2;1;1;0;0;0;0;;no;yes;yes;no;no;no;173;433;36,60;0,88;13,33;56,75;9,82;57,70;;4
